Datum,Plats,Temp,Luftfuktighet
2016-10-01 1:13,Inne,22.9,41
2016-10-01 1:14,Ute,11.3,67
2016-10-01 1:14,Inne,22.9,41
2016-10-01 1:14,Ute,11.3,66
2016-10-01 1:15,Inne,22.9,41
2016-10-01 1:15,Ute,11.3,66
2016-10-01 1:16,Inne,22.9,41
2016-10-01 1:16,Ute,11.3,67
2016-10-01 1:17,Inne,22.9,41
2016-10-01 1:17,Ute,11.3,66
2016-10-01 1:18,Inne,22.9,41
2016-10-01 1:18,Ute,11.1,66
2016-10-01 1:19,Inne,22.9,41
2016-10-01 1:19,Ute,11.1,66
2016-10-01 1:20,Inne,22.9,41
2016-10-01 1:20,Ute,11.1,65
2016-10-01 1:21,Inne,22.9,41
2016-10-01 1:21,Ute,11.1,66
2016-10-01 1:22,Inne,22.9,41
2016-10-01 1:22,Ute,11.1,65
2016-10-01 1:23,Inne,22.9,41
2016-10-01 1:23,Ute,11.1,65
2016-10-01 1:24,Inne,22.9,41
2016-10-01 1:24,Ute,11.1,66
2016-10-01 1:25,Inne,22.9,41
2016-10-01 1:25,Ute,11.1,66
2016-10-01 1:26,Inne,22.9,41
2016-10-01 1:26,Ute,11.1,66
2016-10-01 1:27,Inne,22.9,41
2016-10-01 1:27,Ute,11.1,67
2016-10-01 1:28,Inne,22.9,41
2016-10-01 1:28,Ute,11.1,67
2016-10-01 1:29,Inne,22.9,41
2016-10-01 1:29,Ute,11.1,67
2016-10-01 1:30,Inne,22.9,41
2016-10-01 1:30,Ute,11.1,66
2016-10-01 1:31,Inne,22.9,41
2016-10-01 1:31,Ute,11.1,66
2016-10-01 1:32,Inne,22.9,41
2016-10-01 1:32,Ute,11.1,66
2016-10-01 1:33,Inne,22.9,41
2016-10-01 1:33,Ute,11.1,66
2016-10-01 1:34,Inne,22.9,41
2016-10-01 1:34,Ute,11.1,66
2016-10-01 1:35,Inne,22.9,41
2016-10-01 1:35,Ute,11.1,67
2016-10-01 1:36,Inne,22.9,41
2016-10-01 1:36,Ute,11.1,66
2016-10-01 1:37,Inne,22.9,41
2016-10-01 1:37,Ute,11.1,66
2016-10-01 1:38,Inne,22.9,41
2016-10-01 1:38,Ute,11.1,66
2016-10-01 1:39,Inne,22.9,41
2016-10-01 1:39,Ute,11.1,66
2016-10-01 1:40,Inne,22.9,41
2016-10-01 1:40,Ute,11.1,66
2016-10-01 1:41,Inne,22.9,41
2016-10-01 1:41,Ute,11.1,66
2016-10-01 1:42,Inne,22.9,41
2016-10-01 1:42,Ute,11.1,66
2016-10-01 1:43,Inne,22.9,41
2016-10-01 1:43,Ute,11.1,66
2016-10-01 1:44,Inne,22.9,41
2016-10-01 1:44,Ute,11.1,66
2016-10-01 1:45,Inne,22.9,41
2016-10-01 1:45,Ute,11.1,66
2016-10-01 1:46,Inne,22.9,41
2016-10-01 1:46,Ute,11.1,66
2016-10-01 1:47,Inne,22.9,41
2016-10-01 1:47,Ute,11.1,65
2016-10-01 1:48,Inne,22.9,41
2016-10-01 1:48,Ute,11.1,65
2016-10-01 1:49,Inne,22.9,41
2016-10-01 1:49,Ute,11.1,66
2016-10-01 1:50,Inne,22.9,41
2016-10-01 1:50,Ute,11.1,66
2016-10-01 1:51,Inne,22.9,41
2016-10-01 1:51,Ute,11.1,66
2016-10-01 1:52,Inne,22.9,41
2016-10-01 1:52,Ute,11.1,67
2016-10-01 1:53,Inne,22.9,41
2016-10-01 1:53,Ute,11.1,67
2016-10-01 1:54,Inne,22.9,41
2016-10-01 1:54,Ute,11.1,66
2016-10-01 1:55,Inne,22.9,41
2016-10-01 1:55,Ute,11.1,66
2016-10-01 1:56,Inne,22.9,41
2016-10-01 1:56,Ute,11.1,66
2016-10-01 1:57,Inne,22.9,41
2016-10-01 1:57,Ute,11.1,66
2016-10-01 1:58,Inne,22.9,41
2016-10-01 1:58,Ute,11.1,67
2016-10-01 1:59,Inne,22.9,41
2016-10-01 1:59,Ute,11.1,67
2016-10-01 2:00,Inne,22.9,41
2016-10-01 2:00,Ute,11.1,66
2016-10-01 2:01,Inne,22.9,41
2016-10-01 2:01,Ute,11.1,66
2016-10-01 2:02,Inne,22.9,41
2016-10-01 2:02,Ute,11.1,66
2016-10-01 2:03,Inne,22.9,41
2016-10-01 2:03,Ute,11.1,66
2016-10-01 2:04,Inne,22.9,41
2016-10-01 2:04,Ute,11.1,66
2016-10-01 2:05,Inne,22.9,41
2016-10-01 2:05,Ute,11.1,66
2016-10-01 2:06,Inne,22.9,41
2016-10-01 2:06,Ute,11,66
2016-10-01 2:07,Inne,22.9,41
2016-10-01 2:07,Ute,11,66
2016-10-01 2:08,Inne,22.9,41
2016-10-01 2:08,Ute,11,66
2016-10-01 2:09,Inne,22.9,41
2016-10-01 2:09,Ute,11,66
2016-10-01 2:10,Inne,22.9,41
2016-10-01 2:10,Ute,11,66
2016-10-01 2:11,Inne,22.9,41
2016-10-01 2:11,Ute,11,66
2016-10-01 2:12,Inne,22.9,41
2016-10-01 2:12,Ute,11,66
2016-10-01 2:13,Inne,22.9,41
2016-10-01 2:13,Ute,11,66
2016-10-01 2:14,Inne,22.9,41
2016-10-01 2:14,Ute,11,66
2016-10-01 2:15,Inne,22.9,41
2016-10-01 2:15,Ute,11,66
2016-10-01 2:16,Inne,22.9,41
2016-10-01 2:16,Ute,11,66
2016-10-01 2:17,Inne,22.9,41
2016-10-01 2:17,Ute,11,66
2016-10-01 2:18,Inne,22.9,41
2016-10-01 2:18,Ute,11,66
2016-10-01 2:19,Inne,22.9,41
2016-10-01 2:19,Ute,11,66
2016-10-01 2:20,Inne,22.9,41
2016-10-01 2:20,Ute,11,66
2016-10-01 2:21,Inne,22.9,41
2016-10-01 2:21,Ute,11,66
2016-10-01 2:22,Inne,22.9,41
2016-10-01 2:22,Ute,10.9,67
2016-10-01 2:23,Inne,22.9,41
2016-10-01 2:23,Ute,11,67
2016-10-01 2:24,Inne,22.9,41
2016-10-01 2:24,Ute,11,67
2016-10-01 2:25,Inne,22.9,41
2016-10-01 2:25,Ute,11,67
2016-10-01 2:26,Inne,22.9,41
2016-10-01 2:26,Ute,11,66
2016-10-01 2:27,Inne,22.9,41
2016-10-01 2:27,Ute,11.1,66
2016-10-01 2:28,Inne,22.9,41
2016-10-01 2:28,Ute,11.1,66
2016-10-01 2:29,Inne,22.9,41
2016-10-01 2:29,Ute,11.1,66
2016-10-01 2:30,Inne,22.9,41
2016-10-01 2:30,Ute,11.1,66
2016-10-01 2:31,Inne,23,41
2016-10-01 2:31,Ute,11.1,67
2016-10-01 2:32,Inne,22.9,41
2016-10-01 2:32,Ute,11.1,66
2016-10-01 2:33,Inne,22.9,41
2016-10-01 2:33,Ute,11.1,66
2016-10-01 2:34,Inne,22.9,41
2016-10-01 2:34,Ute,11.1,66
2016-10-01 2:35,Inne,22.9,41
2016-10-01 2:35,Ute,11.1,66
2016-10-01 2:36,Inne,22.9,41
2016-10-01 2:36,Ute,11.1,66
2016-10-01 2:37,Inne,22.9,41
2016-10-01 2:37,Ute,11.1,67
2016-10-01 2:38,Inne,22.9,41
2016-10-01 2:38,Ute,11.1,66
2016-10-01 2:39,Inne,22.9,41
2016-10-01 2:39,Ute,11.1,66
2016-10-01 2:40,Inne,22.9,41
2016-10-01 2:40,Ute,11.1,66
2016-10-01 2:41,Inne,22.9,41
2016-10-01 2:41,Ute,11.1,66
2016-10-01 2:42,Inne,22.9,41
2016-10-01 2:42,Ute,11.1,66
2016-10-01 2:43,Inne,22.9,41
2016-10-01 2:43,Ute,11.1,66
2016-10-01 2:44,Inne,22.9,41
2016-10-01 2:44,Ute,11.1,66
2016-10-01 2:45,Inne,22.9,41
2016-10-01 2:45,Ute,11.1,66
2016-10-01 2:46,Inne,22.9,41
2016-10-01 2:46,Ute,11.1,66
2016-10-01 2:47,Inne,22.9,41
2016-10-01 2:47,Ute,11.1,66
2016-10-01 2:48,Inne,22.9,41
2016-10-01 2:48,Ute,11.1,66
2016-10-01 2:49,Inne,22.9,41
2016-10-01 2:49,Ute,11.1,66
2016-10-01 2:50,Inne,22.9,41
2016-10-01 2:50,Ute,11.1,66
2016-10-01 2:51,Inne,22.9,41
2016-10-01 2:51,Ute,11.1,66
2016-10-01 2:52,Inne,22.9,41
2016-10-01 2:52,Ute,11.1,66
2016-10-01 2:53,Inne,22.9,41
2016-10-01 2:53,Ute,11.1,66
2016-10-01 2:54,Inne,22.9,41
2016-10-01 2:54,Ute,11.1,66
2016-10-01 2:55,Inne,22.9,41
2016-10-01 2:55,Ute,11.1,67
2016-10-01 2:56,Inne,22.9,41
2016-10-01 2:56,Ute,11.1,67
2016-10-01 2:57,Inne,23,41
2016-10-01 2:57,Ute,11.3,67
2016-10-01 2:58,Inne,22.9,41
2016-10-01 2:58,Ute,11.3,66
2016-10-01 2:59,Inne,22.9,41
2016-10-01 2:59,Ute,11.1,66
2016-10-01 2:59,Inne,22.9,41
2016-10-01 3:00,Ute,11.1,67
2016-10-01 3:00,Inne,22.9,41
2016-10-01 3:01,Ute,11.2,66
2016-10-01 3:01,Inne,22.9,41
2016-10-01 3:02,Ute,11.2,66
2016-10-01 3:02,Inne,22.9,41
2016-10-01 3:03,Ute,11.2,66
2016-10-01 3:03,Inne,22.9,41
2016-10-01 3:04,Ute,11.2,66
2016-10-01 3:04,Inne,22.9,41
2016-10-01 3:05,Ute,11.2,66
2016-10-01 3:05,Inne,22.9,41
2016-10-01 3:06,Ute,11.2,66
2016-10-01 3:06,Inne,22.9,41
2016-10-01 3:07,Ute,11.2,66
2016-10-01 3:07,Inne,22.9,41
2016-10-01 3:08,Ute,11.2,66
2016-10-01 3:08,Inne,22.9,41
2016-10-01 3:09,Ute,11.3,66
2016-10-01 3:09,Inne,22.9,41
2016-10-01 3:10,Ute,11.2,66
2016-10-01 3:10,Inne,22.9,41
2016-10-01 3:11,Ute,11.2,66
2016-10-01 3:11,Inne,22.9,41
2016-10-01 3:12,Ute,11.2,66
2016-10-01 3:12,Inne,22.9,41
2016-10-01 3:13,Ute,11.2,66
2016-10-01 3:13,Inne,22.9,41
2016-10-01 3:14,Ute,11.2,66
2016-10-01 3:14,Inne,22.9,41
2016-10-01 3:15,Ute,11.3,66
2016-10-01 3:15,Inne,22.8,41
2016-10-01 3:16,Ute,11.2,66
2016-10-01 3:16,Inne,22.8,41
2016-10-01 3:17,Ute,11.3,66
2016-10-01 3:17,Inne,22.8,41
2016-10-01 3:18,Ute,11.3,66
2016-10-01 3:18,Inne,22.8,41
2016-10-01 3:19,Ute,11.3,66
2016-10-01 3:19,Inne,22.8,41
2016-10-01 3:20,Ute,11.3,65
2016-10-01 3:20,Inne,22.8,41
2016-10-01 3:21,Ute,11.3,65
2016-10-01 3:21,Inne,22.8,41
2016-10-01 3:22,Ute,11.3,65
2016-10-01 3:22,Inne,22.8,41
2016-10-01 3:23,Ute,11.3,65
2016-10-01 3:23,Inne,22.8,41
2016-10-01 3:24,Ute,11.3,65
2016-10-01 3:24,Inne,22.8,41
2016-10-01 3:25,Ute,11.3,64
2016-10-01 3:25,Inne,22.8,41
2016-10-01 3:26,Ute,11.3,64
2016-10-01 3:26,Inne,22.8,41
2016-10-01 3:27,Ute,11.3,64
2016-10-01 3:27,Inne,22.8,41
2016-10-01 3:28,Ute,11.3,64
2016-10-01 3:28,Inne,22.8,41
2016-10-01 3:29,Ute,11.3,64
2016-10-01 3:29,Inne,22.8,41
2016-10-01 3:30,Ute,11.3,64
2016-10-01 3:30,Inne,22.8,41
2016-10-01 3:31,Ute,11.3,64
2016-10-01 3:31,Inne,22.8,41
2016-10-01 3:32,Ute,11.3,64
2016-10-01 3:32,Inne,22.8,41
2016-10-01 3:33,Ute,11.3,64
2016-10-01 3:33,Inne,22.8,41
2016-10-01 3:34,Ute,11.3,64
2016-10-01 3:34,Inne,22.8,41
2016-10-01 3:35,Ute,11.3,64
2016-10-01 3:35,Inne,22.8,41
2016-10-01 3:36,Ute,11.3,64
2016-10-01 3:36,Inne,22.8,41
2016-10-01 3:37,Ute,11.3,64
2016-10-01 3:37,Inne,22.8,41
2016-10-01 3:38,Ute,11.3,64
2016-10-01 3:38,Inne,22.8,41
2016-10-01 3:39,Ute,11.3,64
2016-10-01 3:39,Inne,22.8,41
2016-10-01 3:40,Ute,11.3,64
2016-10-01 3:40,Inne,22.8,41
2016-10-01 3:41,Ute,11.4,64
2016-10-01 3:41,Inne,22.8,41
2016-10-01 3:42,Ute,11.4,64
2016-10-01 3:42,Inne,22.8,41
2016-10-01 3:43,Ute,11.4,64
2016-10-01 3:43,Inne,22.8,41
2016-10-01 3:44,Ute,11.4,64
2016-10-01 3:44,Inne,22.8,41
2016-10-01 3:45,Ute,11.4,64
2016-10-01 3:45,Inne,22.8,41
2016-10-01 3:46,Ute,11.4,64
2016-10-01 3:46,Inne,22.8,41
2016-10-01 3:47,Ute,11.4,64
2016-10-01 3:47,Inne,22.8,41
2016-10-01 3:48,Ute,11.4,64
2016-10-01 3:48,Inne,22.8,41
2016-10-01 3:49,Ute,11.4,64
2016-10-01 3:49,Inne,22.8,41
2016-10-01 3:50,Ute,11.4,64
2016-10-01 3:50,Inne,22.8,41
2016-10-01 3:51,Ute,11.5,64
2016-10-01 3:51,Inne,22.8,41
2016-10-01 3:52,Ute,11.5,64
2016-10-01 3:52,Inne,22.8,41
2016-10-01 3:53,Ute,11.5,63
2016-10-01 3:53,Inne,22.8,41
2016-10-01 3:54,Ute,11.5,63
2016-10-01 3:54,Inne,22.8,41
2016-10-01 3:55,Ute,11.5,63
2016-10-01 3:55,Inne,22.8,41
2016-10-01 3:56,Inne,22.8,41
2016-10-01 3:57,Ute,11.5,63
2016-10-01 3:57,Inne,22.8,41
2016-10-01 3:58,Ute,11.5,63
2016-10-01 3:58,Inne,22.8,41
2016-10-01 3:59,Ute,11.5,63
2016-10-01 3:59,Inne,22.8,41
2016-10-01 4:00,Ute,11.5,63
2016-10-01 4:00,Inne,22.8,41
2016-10-01 4:01,Ute,11.5,63
2016-10-01 4:01,Inne,22.8,41
2016-10-01 4:02,Ute,11.5,63
2016-10-01 4:02,Inne,22.8,41
2016-10-01 4:03,Ute,11.5,62
2016-10-01 4:04,Inne,22.8,41
2016-10-01 4:05,Ute,11.5,62
2016-10-01 4:05,Inne,22.8,41
2016-10-01 4:06,Ute,11.5,62
2016-10-01 4:06,Inne,22.8,41
2016-10-01 4:07,Ute,11.5,62
2016-10-01 4:07,Inne,22.8,41
2016-10-01 4:08,Ute,11.5,62
2016-10-01 4:08,Inne,22.8,41
2016-10-01 4:09,Ute,11.4,62
2016-10-01 4:09,Inne,22.8,41
2016-10-01 4:10,Ute,11.4,62
2016-10-01 4:10,Inne,22.8,41
2016-10-01 4:11,Ute,11.4,62
2016-10-01 4:11,Inne,22.8,41
2016-10-01 4:12,Ute,11.4,62
2016-10-01 4:12,Inne,22.8,41
2016-10-01 4:13,Ute,11.4,62
2016-10-01 4:13,Inne,22.8,41
2016-10-01 4:14,Ute,11.4,62
2016-10-01 4:14,Inne,22.8,41
2016-10-01 4:15,Ute,11.4,62
2016-10-01 4:15,Inne,22.8,41
2016-10-01 4:16,Ute,11.4,62
2016-10-01 4:16,Inne,22.8,41
2016-10-01 4:17,Ute,11.4,62
2016-10-01 4:17,Inne,22.8,41
2016-10-01 4:18,Ute,11.4,62
2016-10-01 4:18,Inne,22.8,41
2016-10-01 4:19,Ute,11.4,62
2016-10-01 4:19,Inne,22.8,41
2016-10-01 4:20,Ute,11.4,62
2016-10-01 4:20,Inne,22.8,41
2016-10-01 4:21,Ute,11.4,62
2016-10-01 4:21,Inne,22.8,41
2016-10-01 4:22,Ute,11.3,62
2016-10-01 4:22,Inne,22.8,41
2016-10-01 4:23,Ute,11.3,62
2016-10-01 4:23,Inne,22.8,41
2016-10-01 4:24,Ute,11.3,62
2016-10-01 4:24,Inne,22.8,41
2016-10-01 4:25,Ute,11.3,62
2016-10-01 4:25,Inne,22.8,41
2016-10-01 4:26,Ute,11.3,63
2016-10-01 4:26,Inne,22.8,41
2016-10-01 4:27,Ute,11.3,62
2016-10-01 4:27,Inne,22.8,41
2016-10-01 4:28,Ute,11.3,62
2016-10-01 4:28,Inne,22.9,41
2016-10-01 4:29,Ute,11.3,62
2016-10-01 4:29,Inne,22.8,41
2016-10-01 4:30,Ute,11.3,62
2016-10-01 4:30,Inne,22.8,41
2016-10-01 4:31,Ute,11.3,62
2016-10-01 4:31,Inne,22.8,41
2016-10-01 4:32,Ute,11.3,62
2016-10-01 4:32,Inne,22.8,41
2016-10-01 4:33,Ute,11.3,62
2016-10-01 4:33,Inne,22.8,41
2016-10-01 4:34,Ute,11.3,62
2016-10-01 4:34,Inne,22.8,41
2016-10-01 4:35,Ute,11.3,62
2016-10-01 4:35,Inne,22.8,41
2016-10-01 4:36,Ute,11.3,62
2016-10-01 4:36,Inne,22.8,41
2016-10-01 4:37,Ute,11.3,62
2016-10-01 4:37,Inne,22.8,41
2016-10-01 4:38,Ute,11.3,62
2016-10-01 4:38,Inne,22.8,41
2016-10-01 4:39,Ute,11.3,62
2016-10-01 4:39,Inne,22.8,41
2016-10-01 4:40,Ute,11.3,62
2016-10-01 4:40,Inne,22.8,41
2016-10-01 4:41,Ute,11.3,62
2016-10-01 4:41,Inne,22.8,41
2016-10-01 4:42,Ute,11.3,62
2016-10-01 4:42,Inne,22.8,41
2016-10-01 4:43,Ute,11.3,62
2016-10-01 4:43,Inne,22.8,41
2016-10-01 4:44,Ute,11.3,62
2016-10-01 4:44,Inne,22.8,41
2016-10-01 4:45,Ute,11.3,62
2016-10-01 4:45,Inne,22.8,41
2016-10-01 4:46,Ute,11.3,62
2016-10-01 4:46,Inne,22.8,41
2016-10-01 4:47,Ute,11.3,62
2016-10-01 4:47,Inne,22.8,41
2016-10-01 4:48,Ute,11.3,62
2016-10-01 4:48,Inne,22.8,41
2016-10-01 4:49,Ute,11.4,62
2016-10-01 4:49,Inne,22.8,41
2016-10-01 4:50,Ute,11.4,62
2016-10-01 4:50,Inne,22.8,41
2016-10-01 4:51,Ute,11.4,62
2016-10-01 4:51,Inne,22.8,41
2016-10-01 4:52,Ute,11.4,62
2016-10-01 4:52,Inne,22.8,41
2016-10-01 4:53,Ute,11.4,62
2016-10-01 4:53,Inne,22.8,41
2016-10-01 4:54,Ute,11.4,62
2016-10-01 4:54,Inne,22.8,41
2016-10-01 4:55,Ute,11.4,62
2016-10-01 4:55,Inne,22.8,41
2016-10-01 4:56,Ute,11.4,62
2016-10-01 4:56,Inne,22.8,41
2016-10-01 4:57,Ute,11.3,62
2016-10-01 4:57,Inne,22.8,41
2016-10-01 4:58,Ute,11.3,62
2016-10-01 4:58,Inne,22.8,41
2016-10-01 4:59,Ute,11.3,62
2016-10-01 4:59,Inne,22.8,41
2016-10-01 5:00,Ute,11.3,62
2016-10-01 5:00,Inne,22.8,41
2016-10-01 5:01,Ute,11.3,62
2016-10-01 5:01,Inne,22.8,41
2016-10-01 5:02,Ute,11.3,62
2016-10-01 5:02,Inne,22.8,41
2016-10-01 5:03,Ute,11.4,62
2016-10-01 5:03,Inne,22.8,41
2016-10-01 5:04,Ute,11.3,62
2016-10-01 5:04,Inne,22.8,41
2016-10-01 5:05,Ute,11.3,62
2016-10-01 5:05,Inne,22.8,41
2016-10-01 5:06,Ute,11.3,62
2016-10-01 5:06,Inne,22.8,41
2016-10-01 5:07,Ute,11.3,62
2016-10-01 5:07,Inne,22.8,41
2016-10-01 5:08,Ute,11.3,62
2016-10-01 5:08,Inne,22.8,41
2016-10-01 5:09,Ute,11.3,62
2016-10-01 5:09,Inne,22.8,41
2016-10-01 5:10,Ute,11.3,62
2016-10-01 5:10,Inne,22.8,41
2016-10-01 5:11,Ute,11.3,62
2016-10-01 5:11,Inne,22.8,41
2016-10-01 5:12,Ute,11.3,62
2016-10-01 5:12,Inne,22.8,41
2016-10-01 5:13,Ute,11.3,62
2016-10-01 5:13,Inne,22.8,41
2016-10-01 5:14,Ute,11.3,62
2016-10-01 5:14,Inne,22.8,41
2016-10-01 5:15,Ute,11.3,62
2016-10-01 5:15,Inne,22.8,41
2016-10-01 5:16,Ute,11.3,62
2016-10-01 5:16,Inne,22.8,41
2016-10-01 5:17,Ute,11.3,62
2016-10-01 5:17,Inne,22.8,41
2016-10-01 5:18,Ute,11.3,62
2016-10-01 5:18,Inne,22.8,41
2016-10-01 5:19,Ute,11.3,62
2016-10-01 5:19,Inne,22.8,41
2016-10-01 5:20,Ute,11.3,62
2016-10-01 5:20,Inne,22.8,41
2016-10-01 5:21,Ute,11.3,62
2016-10-01 5:21,Inne,22.8,41
2016-10-01 5:22,Ute,11.3,62
2016-10-01 5:22,Inne,22.8,41
2016-10-01 5:23,Ute,11.3,62
2016-10-01 5:23,Inne,22.8,41
2016-10-01 5:24,Ute,11.3,62
2016-10-01 5:24,Inne,22.8,41
2016-10-01 5:25,Ute,11.3,62
2016-10-01 5:25,Inne,22.8,41
2016-10-01 5:26,Ute,11.3,62
2016-10-01 5:26,Inne,22.8,41
2016-10-01 5:27,Ute,11.3,62
2016-10-01 5:27,Inne,22.8,41
2016-10-01 5:28,Ute,11.3,62
2016-10-01 5:28,Inne,22.8,41
2016-10-01 5:29,Ute,11.3,62
2016-10-01 5:29,Inne,22.8,41
2016-10-01 5:30,Ute,11.3,62
2016-10-01 5:30,Inne,22.8,41
2016-10-01 5:31,Ute,11.3,62
2016-10-01 5:31,Inne,22.8,41
2016-10-01 5:32,Ute,11.3,62
2016-10-01 5:32,Inne,22.8,41
2016-10-01 5:33,Ute,11.3,62
